idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%)
316,Washed,drip (alternative brewing methods),light,beans,Tanzania,36.0,100
317,Natural,drip (alternative brewing methods),light,beans,Honduras,26.4,100
318,Pulped natural,drip (alternative brewing methods),light,beans,Brazylia,31.2,100
319,Fermentation,drip (alternative brewing methods),light,beans,Brazylia,44.0,100
320,Anaerobic,drip (alternative brewing methods),light,beans,Gwatemala,52.0,100
321,Red Honey,drip (alternative brewing methods),light,beans,Honduras,42.4,100
322,Washed,drip (alternative brewing methods),light,beans,Peru,23.2,100
323,Washed,drip (alternative brewing methods),light,beans,Boliwia,37.96,100
324,Natural,drip (alternative brewing methods),light,beans,Boliwia,54.4,100
325,Washed,drip (alternative brewing methods),light,beans,Honduras,38.08,100
326,Natural,drip (alternative brewing methods),light,beans,Kolumbia,35.84,100
327,Washed,drip (alternative brewing methods),light,beans,Peru,33.6,100
328,Washed,drip (alternative brewing methods),light,beans,Indonezja,0.0,100
329,Washed,drip (alternative brewing methods),light,beans,Kenia,48.0,100
330,Washed,drip (alternative brewing methods),light,beans,Kolumbia,33.6,100
331,Washed,drip (alternative brewing methods),light,beans,Gwatemala,34.56,100
332,Washed,drip (alternative brewing methods),light,beans,Gwatemala,48.0,100
333,Macerated Natural,drip (alternative brewing methods),light,beans,Laos,60.0,100
334,Honey,drip (alternative brewing methods),light,beans,Kostaryka,59.25,100
335,Washed,drip (alternative brewing methods),light,beans,Peru,27.0,100
336,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,40.28,100
337,Natural,drip (alternative brewing methods),light,beans,Meksyk,68.0,100
338,Pulped natural,drip (alternative brewing methods),medium,beans,Brazil and others,24.8,100
339,Honey,drip (alternative brewing methods),light,beans,Brazylia,45.6,100
340,Anaerobic,drip (alternative brewing methods),light,beans,Burundi,51.2,100
341,Washed,drip (alternative brewing methods),light,beans,Salwador,54.4,100
342,Washed,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100
343,Natural,drip (alternative brewing methods),light,beans,Etiopia,55.2,100
344,Washed,drip (alternative brewing methods),light,beans,Gwatemala,38.0,100
345,Fermentation,drip (alternative brewing methods),light,beans,Indonezja,62.0,100
346,Carbonic Maceration,drip (alternative brewing methods),light,beans,Gwatemala,128.0,100
347,Carbonic Maceration,drip (alternative brewing methods),light,beans,Gwatemala,128.0,100
348,Washed,drip (alternative brewing methods),light,beans,Kolumbia,64.0,100
349,Washed,drip (alternative brewing methods),light,beans,Kolumbia,80.0,100
350,Natural,drip (alternative brewing methods),light,beans,Salwador,60.0,100
351,Natural,drip (alternative brewing methods),light,beans,Panama,80.0,100
352,Natural,drip (alternative brewing methods),light,beans,Kostaryka,65.6,100
353,Aged,drip (alternative brewing methods),light,beans,Kolumbia,99.0,100
354,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,90.0,100
355,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,112.0,100
356,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,49.6,100
357,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,37.2,100
358,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.8,100
359,Washed,drip (alternative brewing methods),light,beans,Rwanda,36.8,100
360,Washed,drip (alternative brewing methods),light,beans,Tanzania,31.2,100
361,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100
362,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.8,100
363,Washed,drip (alternative brewing methods),light,beans,Gwatemala,25.2,100
364,Washed,drip (alternative brewing methods),light,beans,Rwanda,28.56,100
365,Washed,drip (alternative brewing methods),light,beans,Burundi,51.2,100
366,Washed,drip (alternative brewing methods),light,beans,Kenia,52.8,100
367,Natural,drip (alternative brewing methods),light,beans,Boliwia,55.2,100
368,Washed,drip (alternative brewing methods),light,beans,Etiopia,52.8,100
369,Washed,drip (alternative brewing methods),light,beans,Gwatemala,50.4,100
370,Washed,drip (alternative brewing methods),light,beans,Kolumbia,52.8,100
371,Washed,drip (alternative brewing methods),light,beans,Salwador,55.2,100
372,Washed,drip (alternative brewing methods),light,beans,Etiopia,60.0,100
373,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100
374,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100
375,Washed,drip (alternative brewing methods),light,beans,Kenia,36.0,100
376,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,48.0,100
377,Natural,drip (alternative brewing methods),light,beans,Etiopia,38.4,100
378,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100
379,Natural,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100
380,Washed,drip (alternative brewing methods),light,beans,Etiopia,31.5,100
381,Washed,drip (alternative brewing methods),light,beans,Kolumbia,0.0,100
382,Natural,drip (alternative brewing methods),light,beans,Brazylia,35.2,100
383,Natural,"drip, espresso",dark,beans,Panama,29.6,100
384,Natural,"drip, espresso",medium,beans,Gwatemala,31.6,100
385,Pulped natural,"drip, espresso",medium,ground,Burundi,22.0,100
386,Natural,"drip, espresso",medium,beans,Etiopia,45.6,100
387,Pulped natural,"drip, espresso",medium,ground,Burundi,28.8,100
388,Pulped natural,"drip, espresso",medium,ground,Burundi,19.2,100
389,Natural,"drip, espresso",medium,beans,Gwatemala,19.2,100
390,Natural,"drip, espresso",medium,beans,Gwatemala,22.0,100
391,Washed,"drip, espresso",medium,beans,Honduras,36.0,100
