idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
156,10.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,42.4
157,13.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,53.6
158,8.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,34.4
159,9,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,200,45
160,9.4,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,47
161,7.6,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,200,38
162,15.68,200 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,78.4
163,13.86,200 g,Rum Aged,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,69.3
164,6.6,125 g,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,125,52.8
165,6.6,125 g,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,125,52.8
166,22,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,88
167,14.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,250,58.4
168,15,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Panama,200,75
169,17.8,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,89
170,16.4,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,82
171,14.6,200 g,CRYO,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,200,73
172,12,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,48
173,11.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,46.4
174,13,250 g,Yeast Process,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,52
175,12,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,48
176,6.6,250 g,Pulped natural,drip (alternative brewing methods),medium,beans,100% Arabica,Brazylia,250,26.4
177,11.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,47.2
178,9.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,39.2
179,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,40
180,11.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,47.2
181,8.26,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,33.04
182,13.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,250,54.4
183,11.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,47.2
184,11.6,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,46.4
185,12,250 g,Washed i natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,48
186,11.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,46.4
187,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,36
188,9,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,36
189,8.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,32.8
190,9.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,39.2
191,9,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,36
192,9,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,36
193,13.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,54.4
