idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew,Washed,Natural,Fermented/macerated (traditional),Fermented/macerated (closed tank),process_general,region of origin
106,Washed,drip (alternative brewing methods),light,beans,Brazylia,38.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
107,Natural,drip (alternative brewing methods),light,beans,Rwanda,40,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
108,Natural,drip (alternative brewing methods),light,beans,Rwanda,40,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
109,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,Brazylia,44,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,TRUE,FALSE,Fermented,Latam
110,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,47.2,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,TRUE,Fermented,Latam
111,Washed,drip (alternative brewing methods),light,beans,Etiopia,48,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
112,Natural,drip (alternative brewing methods),light,beans,Etiopia,51.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
113,Honey,drip (alternative brewing methods),light,beans,Etiopia,51.2,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Africa
114,Washed Anaerobic,drip (alternative brewing methods),light,beans,Honduras,51.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,TRUE,Fermented,Latam
115,Washed,drip (alternative brewing methods),light,beans,Honduras,54.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
116,Carbonic Maceration,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,TRUE,Fermented,Latam
117,Honey,drip (alternative brewing methods),light,beans,Kostaryka,54.4,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
118,Honey,drip (alternative brewing methods),light,beans,Kostaryka,56,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
119,Natural,drip (alternative brewing methods),light,beans,Meksyk,48,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
120,Washed,drip (alternative brewing methods),light,beans,Peru,48,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
121,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,Peru,40,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Fermented,Latam
122,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,"Brazylia, inne",21,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Fermented,Mixed
123,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,"Brazylia, inne",23.2,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Fermented,Mixed
124,Washed,drip (alternative brewing methods),light,beans,Etiopia,29,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
125,Washed,drip (alternative brewing methods),light,beans,Etiopia,32,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
126,Washed,drip (alternative brewing methods),light,beans,Etiopia,30.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
127,Semi-washed,drip (alternative brewing methods),light,beans,Rwanda,30,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Africa
128,Semi-washed,drip (alternative brewing methods),light,beans,Rwanda,32.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Africa
129,Semi-washed,drip (alternative brewing methods),light,beans,Rwanda,31.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Africa
130,Semi-washed,drip (alternative brewing methods),light,ground,"Honduras, Kolumbia, Peru",20,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Latam
131,Honey,drip (alternative brewing methods),light,beans,Kostaryka,38.08,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
132,Washed,drip (alternative brewing methods),light,beans,Gwatemala,41.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
133,Washed,drip (alternative brewing methods),light,beans,Honduras,33.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
134,Honey,drip (alternative brewing methods),light,beans,Meksyk,33.6,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
135,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,63.2,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,TRUE,Fermented,Latam
136,Washed,drip (alternative brewing methods),light,beans,Etiopia,62.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
137,Natural,drip (alternative brewing methods),light,beans,Etiopia,60,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
138,Washed,drip (alternative brewing methods),light,beans,Burundi,44,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
139,Washed,drip (alternative brewing methods),light,beans,Gwatemala,23.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
140,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
141,Washed,drip (alternative brewing methods),light,beans,Kenia,44,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
142,Natural,drip (alternative brewing methods),light,beans,Kostaryka,44,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
143,Honey,drip (alternative brewing methods),light,beans,Kostaryka,79,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
144,Natural,drip (alternative brewing methods),light,beans,Nikaragua,44,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
145,Anaerobic natural,drip (alternative brewing methods),light,beans,Salwador,55.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,TRUE,Fermented,Latam
146,Natural,drip (alternative brewing methods),light,beans,Uganda,44,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
147,Natural,drip (alternative brewing methods),light,beans,Uganda,32.12,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
148,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.6,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
149,Washed,drip (alternative brewing methods),light,beans,Burundi,44,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
150,Natural,drip (alternative brewing methods),light,beans,Burundi,48,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
151,Washed,drip (alternative brewing methods),light,beans,Etiopia,44.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
152,Washed,drip (alternative brewing methods),light,beans,Kenia,40,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
153,Natural,drip (alternative brewing methods),light,beans,Kolumbia,60,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
154,Natural,drip (alternative brewing methods),light,beans,Salwador,40,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
155,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
156,Washed,drip (alternative brewing methods),light,beans,Honduras,42.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
157,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
158,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
159,Natural,drip (alternative brewing methods),light,beans,Brazylia,45,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
160,Washed,drip (alternative brewing methods),light,beans,Kolumbia,47,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
