,process,brewing_method,roast,grind,origin,price_per_kg,percentage_of_arabica,pure_arabica,roast_brew,Washed,Natural,Fermented_traditional,Fermented_closedtank,process_general,region_of_origin
165,Natural,drip (alternative brewing methods),light,beans,Panama,75.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
166,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
167,Washed,drip (alternative brewing methods),light,beans,Kolumbia,82.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
168,CRYO,drip (alternative brewing methods),light,beans,Brazylia,73.0,100,True,light_drip (alternative brewing methods),False,False,False,False,CRYO,Latam
169,Natural,drip (alternative brewing methods),light,beans,Burundi,48.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
170,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
171,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,52.0,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
172,Natural,drip (alternative brewing methods),light,beans,Rwanda,48.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
173,Pulped natural,drip (alternative brewing methods),medium,beans,Brazylia,26.4,100,True,medium_drip (alternative brewing methods),True,True,False,False,Hybrid,Latam
174,Washed,drip (alternative brewing methods),light,beans,Kostaryka,47.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
175,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
176,Washed,drip (alternative brewing methods),light,beans,Peru,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
177,Washed,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
178,Washed,drip (alternative brewing methods),light,beans,Etiopia,33.04,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
179,Natural,drip (alternative brewing methods),light,beans,Indonezja,54.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Asia
180,Washed,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
181,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,46.4,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
182,Washed and natural,drip (alternative brewing methods),light,beans,Kolumbia,48.0,100,True,light_drip (alternative brewing methods),True,True,False,False,Hybrid,Latam
183,Natural,drip (alternative brewing methods),light,beans,Rwanda,46.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
184,Washed,drip (alternative brewing methods),light,beans,Etiopia,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
185,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
186,Washed,drip (alternative brewing methods),light,beans,Honduras,32.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
187,Washed,drip (alternative brewing methods),light,beans,Kenia,39.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
188,Honey,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
189,Natural,drip (alternative brewing methods),light,beans,Nikaragua,36.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
190,Washed,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
191,Washed,drip (alternative brewing methods),light,beans,Etiopia,33.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
192,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
193,Natural,drip (alternative brewing methods),light,beans,Brazylia,26.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
194,"Washed, Barrel Aged",drip (alternative brewing methods),light,beans,Kolumbia,51.2,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Latam
195,Washed,drip (alternative brewing methods),medium,beans,Salwador,33.6,100,True,medium_drip (alternative brewing methods),True,False,False,False,Washed,Latam
196,Natural,drip (alternative brewing methods),medium,beans,Sumatra,31.6,100,True,medium_drip (alternative brewing methods),False,True,False,False,Natural,Asia
197,Washed,drip (alternative brewing methods),light,beans,Gwatemala,33.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
198,Washed,drip (alternative brewing methods),light,beans,Kenia,39.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
199,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
200,Natural,drip (alternative brewing methods),light,beans,Rwanda,47.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
207,Semi-washed,drip (alternative brewing methods),light,ground,Kolumbia,82.29,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Latam
208,Natural,drip (alternative brewing methods),light,beans,Brazylia,52.38,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
209,Washed,drip (alternative brewing methods),light,beans,Burundi,52.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
210,Washed,drip (alternative brewing methods),light,beans,Gwatemala,49.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
