idx,process,brewing method,roast,grind,arabica_robusta,origin,price_per_kg
201,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,39
202,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40
203,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,47.2
204,Semi-Carbonic Maceration,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,120
205,Semi-Carbonic Maceration,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,102.86
206,Semi-Carbonic Maceration,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,120
207,Semi-Carbonic Maceration,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,102.86
208,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,120
209,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,102.86
210,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,82.29
211,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,52.38
212,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,52
213,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,49.6
214,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,52.8
215,Natural,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,130.91
216,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,60
217,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,60
218,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Panama,115.2
219,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,87.2
220,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,144
221,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,46.4
222,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,37.6
223,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,46.4
224,Monsooning,drip (alternative brewing methods),medium,beans,100% Arabica,Indie,36.8
225,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,43.2
226,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,42.4
227,Monsooning,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,57.5
228,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,60
229,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,52.8
230,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,55.2
231,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,63.2
232,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,40.8
233,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,50.4
234,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,50.4
235,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Rwanda, inne",27
236,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,46.4
237,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,43.2
238,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,34.72
239,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,34.72
240,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Indie,35.84
241,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,31.36
242,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,44
243,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,43.2
244,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,48
245,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,33
246,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,51.2
247,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,34.56
248,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Honduras,57.27
249,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,52.8
