idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
150,Natural,drip (alternative brewing methods),light,beans,Burundi,48.0,100,True,light_drip (alternative brewing methods)
151,Washed,drip (alternative brewing methods),light,beans,Etiopia,44.8,100,True,light_drip (alternative brewing methods)
152,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods)
153,Natural,drip (alternative brewing methods),light,beans,Kolumbia,60.0,100,True,light_drip (alternative brewing methods)
154,Natural,drip (alternative brewing methods),light,beans,Salwador,40.0,100,True,light_drip (alternative brewing methods)
155,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40.0,100,True,light_drip (alternative brewing methods)
156,Washed,drip (alternative brewing methods),light,beans,Honduras,42.4,100,True,light_drip (alternative brewing methods)
157,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100,True,light_drip (alternative brewing methods)
158,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.4,100,True,light_drip (alternative brewing methods)
159,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.0,100,True,light_drip (alternative brewing methods)
160,Washed,drip (alternative brewing methods),light,beans,Kolumbia,47.0,100,True,light_drip (alternative brewing methods)
161,Washed,drip (alternative brewing methods),light,beans,Etiopia,38.0,100,True,light_drip (alternative brewing methods)
162,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,78.4,100,True,light_drip (alternative brewing methods)
163,Aged,drip (alternative brewing methods),light,beans,Kolumbia,69.3,100,True,light_drip (alternative brewing methods)
164,Macerated Natural,drip (alternative brewing methods),light,beans,Honduras,52.8,100,True,light_drip (alternative brewing methods)
165,Macerated Natural,drip (alternative brewing methods),light,beans,Honduras,52.8,100,True,light_drip (alternative brewing methods)
166,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,88.0,100,True,light_drip (alternative brewing methods)
167,Washed,drip (alternative brewing methods),light,beans,Boliwia,58.4,100,True,light_drip (alternative brewing methods)
168,Natural,drip (alternative brewing methods),light,beans,Panama,75.0,100,True,light_drip (alternative brewing methods)
169,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89.0,100,True,light_drip (alternative brewing methods)
170,Washed,drip (alternative brewing methods),light,beans,Kolumbia,82.0,100,True,light_drip (alternative brewing methods)
171,Experimental,drip (alternative brewing methods),light,beans,Brazylia,73.0,100,True,light_drip (alternative brewing methods)
172,Natural,drip (alternative brewing methods),light,beans,Burundi,48.0,100,True,light_drip (alternative brewing methods)
173,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100,True,light_drip (alternative brewing methods)
174,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,52.0,100,True,light_drip (alternative brewing methods)
175,Natural,drip (alternative brewing methods),light,beans,Rwanda,48.0,100,True,light_drip (alternative brewing methods)
176,Pulped natural,drip (alternative brewing methods),medium,beans,Brazylia,26.4,100,True,medium_drip (alternative brewing methods)
177,Washed,drip (alternative brewing methods),light,beans,Kostaryka,47.2,100,True,light_drip (alternative brewing methods)
178,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods)
179,Washed,drip (alternative brewing methods),light,beans,Peru,40.0,100,True,light_drip (alternative brewing methods)
180,Washed,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,True,light_drip (alternative brewing methods)
181,Washed,drip (alternative brewing methods),light,beans,Etiopia,33.04,100,True,light_drip (alternative brewing methods)
182,Natural,drip (alternative brewing methods),light,beans,Indonezja,54.4,100,True,light_drip (alternative brewing methods)
183,Washed,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,True,light_drip (alternative brewing methods)
184,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,46.4,100,True,light_drip (alternative brewing methods)
